,method,PCC,PCC_value,data
0,mutatex,PCC,0.3300119153840775,full dataset
1,rosetta,PCC,0.31115847156543075,full dataset
2,rasp,PCC,0.29615609024900463,full dataset
3,ddgun_seq,PCC,0.12948753807060137,full dataset
4,ddgun_3d,PCC,0.15603820862887233,full dataset
5,thermompnn,PCC,0.35765909494927167,full dataset
6,mutatex_rosetta,PCC,0.35128662039854924,full dataset
7,mutatex_rasp,PCC,0.34604236286157974,full dataset
8,mutatex_ddgun_seq,PCC,0.3161568243619096,full dataset
9,mutatex_ddgun_3d,PCC,0.32945169361253646,full dataset
10,mutatex_thermompnn,PCC,0.37217499477628757,full dataset
11,rosetta_rasp,PCC,0.3195480647868517,full dataset
12,rosetta_ddgun_seq,PCC,0.27701561523278706,full dataset
13,rosetta_ddgun_3d,PCC,0.29237901749029943,full dataset
14,rosetta_thermompnn,PCC,0.3514119295239643,full dataset
15,rasp_ddgun_seq,PCC,0.2503534866209827,full dataset
16,rasp_ddgun_3d,PCC,0.2660125045950925,full dataset
17,rasp_thermompnn,PCC,0.34121812074324936,full dataset
18,ddgun_seq_ddgun_3d,PCC,0.1440163893892161,full dataset
19,ddgun_seq_thermompnn,PCC,0.2568878017499503,full dataset
20,ddgun_3d_thermompnn,PCC,0.28696935269215806,full dataset
21,mutatex_rosetta_rasp,PCC,0.3498694842633125,full dataset
22,mutatex_rosetta_ddgun_seq,PCC,0.3394644049516059,full dataset
23,mutatex_rosetta_ddgun_3d,PCC,0.34506012132974617,full dataset
24,mutatex_rosetta_thermompnn,PCC,0.37112180601409445,full dataset
25,mutatex_rasp_ddgun_seq,PCC,0.3286182567091965,full dataset
26,mutatex_rasp_ddgun_3d,PCC,0.3349785602681589,full dataset
27,mutatex_rasp_thermompnn,PCC,0.366793151326651,full dataset
28,mutatex_ddgun_seq_ddgun_3d,PCC,0.2900565347284529,full dataset
29,mutatex_ddgun_seq_thermompnn,PCC,0.3499621748063298,full dataset
30,mutatex_ddgun_3d_thermompnn,PCC,0.3596759715662917,full dataset
31,rosetta_rasp_ddgun_seq,PCC,0.29808384731770704,full dataset
32,rosetta_rasp_ddgun_3d,PCC,0.3051186340969441,full dataset
33,rosetta_rasp_thermompnn,PCC,0.34332743219981976,full dataset
34,rosetta_ddgun_seq_ddgun_3d,PCC,0.2532653673420385,full dataset
35,rosetta_ddgun_seq_thermompnn,PCC,0.31726833765350787,full dataset
36,rosetta_ddgun_3d_thermompnn,PCC,0.328569731740394,full dataset
37,rasp_ddgun_seq_ddgun_3d,PCC,0.229070910212129,full dataset
38,rasp_ddgun_seq_thermompnn,PCC,0.29844413362259026,full dataset
39,rasp_ddgun_3d_thermompnn,PCC,0.3104227144719174,full dataset
40,ddgun_seq_ddgun_3d_thermompnn,PCC,0.22751079976144167,full dataset
41,mutatex_rosetta_rasp_ddgun_seq,PCC,0.33892691096942734,full dataset
42,mutatex_rosetta_rasp_ddgun_3d,PCC,0.34211759481222875,full dataset
43,mutatex_rosetta_rasp_thermompnn,PCC,0.36378531576181494,full dataset
44,mutatex_rosetta_ddgun_seq_ddgun_3d,PCC,0.32101769960446885,full dataset
45,mutatex_rosetta_ddgun_seq_thermompnn,PCC,0.3574243308660008,full dataset
46,mutatex_rosetta_ddgun_3d_thermompnn,PCC,0.36185209582772215,full dataset
47,mutatex_rasp_ddgun_seq_ddgun_3d,PCC,0.30823620303992866,full dataset
48,mutatex_rasp_ddgun_seq_thermompnn,PCC,0.348727047034686,full dataset
49,mutatex_rasp_ddgun_3d_thermompnn,PCC,0.35373128905958484,full dataset
50,mutatex_ddgun_seq_ddgun_3d_thermompnn,PCC,0.3225027129979462,full dataset
51,rosetta_rasp_ddgun_seq_ddgun_3d,PCC,0.279607735891732,full dataset
52,rosetta_rasp_ddgun_seq_thermompnn,PCC,0.3222953563675428,full dataset
53,rosetta_rasp_ddgun_3d_thermompnn,PCC,0.32793310103236156,full dataset
54,rosetta_ddgun_seq_ddgun_3d_thermompnn,PCC,0.29088039886324324,full dataset
55,rasp_ddgun_seq_ddgun_3d_thermompnn,PCC,0.2720060161822096,full dataset
56,average_all,PCC,0.33861218866207365,full dataset
